DISTRICT_id,Cases
48,1
59,5
61,115
23,18
62,71
58,13
39,720
13,96
10,89
7,56
57,6
21,137
51,120
43,391
22,117
12,49
542,107
11,12
72,87
1,21
68,997
46,882
28,1546
44,339
541,40
53,534
19,2312
31,1271
52,1059
38,1331
4,769
33,1439
37,2086
15,1253
8,29
66,1652
69,742
25,137
74,317
9,35
40,477
73,362
26,398
70,588
3,101
67,2073
42,449
14,144
32,2049
34,2605
27,13781
18,1429
50,387
75,771
49,55
6,1562
5,2713
41,487
16,1129
54,114
29,1462
17,1964
63,1123
65,575
24,139
55,328
20,107
47,4
481,822
2,33
45,374
30,419
64,1197
35,1719
482,468
71,482
60,231
