DISTRICT_id,Recovered
48,1
59,5
61,112
23,16
62,59
58,13
57,5
7,27
39,608
13,73
10,55
21,84
51,114
43,283
22,73
12,42
542,76
11,11
72,75
1,18
68,899
46,568
40,433
28,1022
29,729
16,928
24,104
65,450
53,492
19,1788
52,907
37,1198
8,28
66,1213
74,268
9,22
33,1159
4,600
31,784
73,297
26,263
70,564
54,93
3,95
67,1679
42,384
38,1204
41,434
5,1902
14,131
32,1852
34,2357
27,7460
18,1271
50,348
75,674
49,53
6,1053
17,1690
63,1073
55,311
20,93
47,3
481,571
2,23
45,235
15,853
25,113
69,636
30,387
64,844
35,843
482,276
71,355
44,240
60,195
541,36
