DISTRICT_id,DISTRICT,Province
2,Panchthar,1
3,Ilam,1
4,Jhapa,1
5,Morang,1
6,Sunsari,1
8,Terhathum,1
9,Bhojpur,1
10,Sankhuwasabha,1
11,Solukhumbu,1
12,Khotang,1
13,Okhaldhunga,1
14,Udayapur,1
16,Saptari,2
20,Sindhuli,3
22,Dolakha,3
23,Rasuwa,3
25,Nuwakot,3
28,Lalitpur,3
31,Makawanpur,3
33,Bara,2
34,Parsa,2
38,Kapilbastu,5
40,Arghakhanchi,5
42,Syangja,4
44,Gorkha,4
46,Kaski,4
47,Manang,4
50,Baglung,4
52,Dang,5
54,Rolpa,5
58,Mugu,6
60,Jumla,6
63,Dailekh,6
64,Surkhet,6
66,Banke,5
68,Doti,7
70,Bajura,7
73,Baitadi,7
75,Kanchanpur,7
1,Taplejung,1
7,Dhankuta,1
15,Siraha,2
17,Dhanusha,2
18,Mahottari,2
19,Sarlahi,2
21,Ramechhap,3
24,Sindhupalchok,3
26,Dhading,3
27,Kathmandu,3
29,Bhaktapur,3
30,Kabhrepalanchok,3
32,Rautahat,2
35,Chitawan,3
37,Rupandehi,5
39,Palpa,5
41,Gulmi,5
43,Tanahu,4
45,Lamjung,4
48,Mustang,4
49,Myagdi,4
51,Parbat,4
53,Pyuthan,5
55,Salyan,6
57,Dolpa,6
59,Humla,6
61,Kalikot,6
62,Jajarkot,6
65,Bardiya,5
67,Kailali,7
69,Achham,7
71,Bajhang,7
72,Darchula,7
74,Dadeldhura,7
481,Nawalparasi East,4
482,Nawalparasi West,5
541,Rukum East,5
542,Rukum West,6
